Ingredients,Quantity
Basmati Rice(chawal),1 kg
Chicken/mutton,1 kg
salt (namak),250 gram
oil(tel),500 gram
ghee,250 gram
Yogurt(dahi),250 gram
Onions(kanda),750 gram
Tomatoes(tamata),300 gram
Ginger (adrak),250 gram
Garlic(lehsun),125 gram
Coriander (kotmir),0.5 bunch
mint (Pudhina),0.25 bunch
nimbu (lemon),2 unit
lazeez biryani masala,10 gram
Ginger_garlic paste(adrak lehsun paste),125 gram
ambari kanda masala,50 gram
turmeric(haldi),25 gram
Coriander powder(dhaniya powder),50 gram
lawang,5 gram
dalchini,5 gram
shah jeera,10 gram
hari elaichi,10 gram
star phool,5 gram
teez patta,5 gram
